G_ID,GDAY_DS,T_ID,VS_T_ID,TB_SC,WLS,INN2_teampit,BF,AB_pit,HIT_pit,H2_pit,H3_pit,HR_pit,SB_pit,BB_pit,KK_pit,GD_pit,R,ER_teampit,WLS_changed,INN2_sp,ER_sp,AB_bat,RBI,RUN,HIT_bat,H2_bat,H3_bat,HR_bat,SB_bat,BB_bat,KK_bat,GD_bat,ERR,LOB,ERA,AVG_bat,AVG_pit,OPS_bat,OPS_pit,wOBA_bat,wOBA_pit,FIP,WHIP,ISO,PE,3hal
20160422NCSK0,20160422,NC,SK,T,W,33,154,39,9,2,0,1,0,3,8,1,5,5,1,17,2,36,5,6,8,2,0,1,0,10,8,1,0,12,4.090909090909091,0.2222222222222222,0.23076923076923078,0.8611111111111112,0.6666666666666666,0.3476086956521739,0.2869047619047619,3.5454545454545454,1.0909090909090908,0.1388888888888889,0.5901639344262295,6
20160423NCSK0,20160423,NC,SK,T,L,24,182,37,13,1,0,0,0,5,7,1,8,6,0,9,4,31,2,2,6,0,0,1,0,1,7,0,3,3,6.75,0.1935483870967742,0.35135135135135137,0.5161290322580645,0.8648648648648649,0.22625,0.36666666666666664,3.125,2.25,0.0967741935483871,0.058823529411764705,7
20160424NCSK0,20160424,NC,SK,T,L,24,116,31,9,2,0,1,1,0,7,0,3,3,0,21,3,30,2,2,5,0,0,2,0,2,6,1,0,4,3.375,0.16666666666666666,0.2903225806451613,0.6,0.7419354838709677,0.2578125,0.32193548387096776,2.875,1.125,0.2,0.3076923076923077,6
20160426WONC0,20160426,NC,WO,B,W,27,167,34,9,1,0,0,0,5,10,1,3,3,1,19,3,32,3,4,11,4,0,0,0,3,3,1,0,7,3.0,0.34375,0.2647058823529412,0.90625,0.7058823529411765,0.3822857142857143,0.3035897435897436,2.4444444444444446,1.5555555555555556,0.125,0.64,5
20160428WONC0,20160428,NC,WO,B,L,27,157,37,9,3,1,1,1,1,7,0,4,2,0,18,1,34,2,2,8,0,0,0,1,2,11,0,0,7,2.0,0.23529411764705882,0.24324324324324326,0.5294117647058824,0.7297297297297297,0.2361111111111111,0.31,3.2222222222222223,1.1111111111111112,0.0,0.2,5
20160429NCLT0,20160429,NC,LT,T,W,27,139,30,7,2,0,1,1,6,7,1,3,3,1,18,2,33,5,6,9,2,0,2,0,10,8,1,0,10,3.0,0.2727272727272727,0.23333333333333334,1.0909090909090908,0.8333333333333334,0.4206976744186047,0.34277777777777774,4.888888888888889,1.4444444444444444,0.24242424242424243,0.8,4
20160430NCLT0,20160430,NC,LT,T,W,27,143,32,5,2,0,0,0,2,12,1,1,1,1,18,1,38,8,8,11,1,0,2,0,4,9,0,1,7,1.0,0.2894736842105263,0.15625,0.868421052631579,0.4375,0.3654761904761904,0.1938235294117647,1.0,0.7777777777777778,0.18421052631578946,0.9846153846153847,6
20160501NCLT0,20160501,NC,LT,T,W,27,146,32,5,0,0,0,0,3,6,0,2,1,1,20,1,36,5,5,10,0,0,3,0,1,8,1,1,6,1.0,0.2777777777777778,0.15625,0.8333333333333334,0.40625,0.3572972972972973,0.18628571428571428,2.6666666666666665,0.8888888888888888,0.25,0.8620689655172413,3
20160504NCKT0,20160504,NC,KT,T,W,27,175,35,9,1,0,0,0,5,9,0,6,6,1,18,3,36,7,8,13,2,1,1,0,4,4,2,0,6,6.0,0.3611111111111111,0.2571428571428571,1.0277777777777777,0.6857142857142857,0.42575,0.296,2.6666666666666665,1.5555555555555556,0.19444444444444445,0.64,6
20160505NCKT0,20160505,NC,KT,T,W,27,139,32,7,0,0,0,2,5,8,2,2,2,1,20,1,43,15,15,16,5,1,2,1,9,5,0,0,12,2.0,0.37209302325581395,0.21875,1.255813953488372,0.59375,0.49038461538461536,0.2616216216216216,2.888888888888889,1.3333333333333333,0.3023255813953488,0.982532751091703,6
20160506LGNC0,20160506,NC,LG,B,W,27,138,29,5,0,0,0,0,3,5,2,2,2,1,21,2,37,13,13,15,3,0,2,0,2,5,2,2,2,2.0,0.40540540540540543,0.1724137931034483,1.1081081081081081,0.4482758620689655,0.468974358974359,0.20375,2.888888888888889,0.8888888888888888,0.24324324324324326,0.976878612716763,6
20160507LGNC0,20160507,NC,LG,B,W,27,161,31,6,0,0,0,0,6,8,0,1,1,1,18,0,32,4,4,8,1,0,3,0,3,12,0,0,7,1.0,0.25,0.1935483870967742,0.90625,0.5806451612903226,0.37714285714285717,0.2562162162162162,3.2222222222222223,1.3333333333333333,0.3125,0.9411764705882353,5
20160508LGNC0,20160508,NC,LG,B,W,27,140,36,9,1,0,1,0,2,6,1,5,5,1,16,4,30,11,11,12,2,0,0,1,12,3,2,0,9,5.0,0.4,0.25,1.2666666666666666,0.6666666666666666,0.4695238095238095,0.2889473684210526,3.7777777777777777,1.2222222222222223,0.06666666666666667,0.8287671232876712,7
20160511NCHH0,20160511,NC,HH,T,L,24,150,36,13,4,0,0,0,3,7,1,6,5,0,15,5,35,4,5,9,1,0,0,0,9,8,1,0,13,5.625,0.2571428571428571,0.3611111111111111,0.8,0.9166666666666666,0.3318181818181818,0.38871794871794874,2.375,2.0,0.02857142857142857,0.4098360655737705,4
20160512NCHH0,20160512,NC,HH,T,W,27,151,33,6,1,1,0,0,3,10,0,1,1,1,18,1,36,11,12,12,1,1,1,1,11,10,0,0,11,1.0,0.3333333333333333,0.18181818181818182,1.1388888888888888,0.5454545454545454,0.4380851063829788,0.23666666666666666,1.7777777777777777,1.0,0.16666666666666666,0.993103448275862,7
20160513KTNC0,20160513,NC,KT,B,L,27,153,36,10,1,0,2,0,2,7,1,5,5,0,15,4,35,4,4,9,0,0,2,0,1,11,1,0,5,5.0,0.2571428571428571,0.2777777777777778,0.7142857142857143,0.8055555555555556,0.30888888888888894,0.3442105263157895,5.0,1.3333333333333333,0.17142857142857143,0.3902439024390244,6
20160514KTNC0,20160514,NC,KT,B,L,27,152,34,9,2,0,4,0,4,7,0,6,6,0,12,3,36,3,3,10,2,0,0,3,5,11,1,0,11,6.0,0.2777777777777778,0.2647058823529412,0.75,1.0588235294117647,0.3197560975609756,0.43078947368421056,8.555555555555555,1.4444444444444444,0.05555555555555555,0.2,6
20160515KTNC0,20160515,NC,KT,B,D,36,197,42,7,0,0,0,2,6,12,1,2,2,0,21,2,43,2,2,7,2,0,0,4,7,10,0,1,12,1.5,0.16279069767441862,0.16666666666666666,0.5348837209302325,0.47619047619047616,0.2364,0.2160416666666667,2.5,1.0833333333333333,0.046511627906976744,0.5,6
20160517NCWO0,20160517,NC,WO,T,L,24,136,33,10,2,0,1,1,2,8,1,5,5,0,17,5,36,3,3,9,1,1,2,0,2,4,0,1,8,5.625,0.25,0.30303030303030304,0.8055555555555556,0.8181818181818182,0.33999999999999997,0.35,3.375,1.5,0.25,0.2647058823529412,5
20160518NCWO0,20160518,NC,WO,T,L,24,156,37,16,0,0,1,0,4,5,1,9,8,0,12,8,36,6,6,14,2,0,1,0,5,5,2,2,9,9.0,0.3888888888888889,0.43243243243243246,1.0555555555555556,1.054054054054054,0.4360975609756098,0.44414634146341464,4.875,2.5,0.1388888888888889,0.3076923076923077,6
20160519NCWO0,20160519,NC,WO,T,W,27,120,31,8,1,1,0,1,3,10,3,2,2,1,16,1,37,6,6,11,0,1,2,0,1,7,0,0,6,2.0,0.2972972972972973,0.25806451612903225,0.8378378378378378,0.7096774193548387,0.35868421052631577,0.30294117647058827,1.7777777777777777,1.2222222222222223,0.21621621621621623,0.9,4
20160520SSNC0,20160520,NC,SS,B,L,27,196,40,18,3,0,1,0,10,5,3,12,12,0,4,5,34,2,2,8,1,0,0,2,4,6,1,0,9,12.0,0.23529411764705882,0.45,0.6176470588235294,1.3,0.27,0.5054,6.666666666666666,3.111111111111111,0.029411764705882353,0.02702702702702703,7
20160521SSNC0,20160521,NC,SS,B,W,27,169,33,10,1,1,0,0,6,8,3,2,2,1,15,2,33,9,10,13,2,0,2,0,7,4,2,0,8,2.0,0.3939393939393939,0.30303030303030304,1.2424242424242424,0.8787878787878788,0.48949999999999994,0.3628205128205128,3.2222222222222223,1.7777777777777777,0.24242424242424243,0.9615384615384616,7
20160522SSNC0,20160522,NC,SS,B,W,27,179,38,11,0,0,5,3,5,10,0,8,8,1,15,4,37,9,9,14,3,0,2,0,2,6,0,0,6,8.0,0.3783783783783784,0.2894736842105263,1.054054054054054,1.105263157894737,0.44615384615384623,0.4486046511627907,9.666666666666668,1.7777777777777777,0.24324324324324326,0.5586206896551724,4
20160525SKNC0,20160525,NC,SK,B,W,27,124,26,1,1,0,0,1,4,14,0,0,0,1,25,0,28,3,5,8,0,0,2,1,5,4,2,0,6,0.0,0.2857142857142857,0.038461538461538464,0.9642857142857143,0.2692307692307692,0.39363636363636356,0.1343333333333333,1.2222222222222223,0.5555555555555556,0.21428571428571427,1.0,4
20160526SKNC0,20160526,NC,SK,B,L,30,195,43,18,2,0,4,0,6,11,2,9,9,0,13,3,37,6,6,10,2,0,0,1,7,4,0,0,10,8.1,0.2702702702702703,0.4186046511627907,0.7837837837837838,1.302325581395349,0.3293181818181818,0.5257142857142857,7.8,2.4,0.05405405405405406,0.3076923076923077,6
20160527NCHT0,20160527,NC,HT,T,W,27,146,37,10,2,2,2,0,4,9,0,7,6,1,16,6,41,13,13,18,4,0,0,2,10,2,0,1,13,6.0,0.43902439024390244,0.2702702702702703,1.2195121951219512,0.972972972972973,0.4792156862745098,0.3975609756097561,5.222222222222222,1.5555555555555556,0.0975609756097561,0.7752293577981652,5
20160528NCHT0,20160528,NC,HT,T,W,27,138,38,12,1,0,0,2,1,8,1,5,5,1,15,4,39,12,13,16,3,0,4,1,14,5,3,1,15,5.0,0.41025641025641024,0.3157894736842105,1.564102564102564,0.6842105263157895,0.5637735849056604,0.30128205128205127,1.5555555555555556,1.4444444444444444,0.38461538461538464,0.8711340206185567,8
20160529NCHT0,20160529,NC,HT,T,W,27,159,37,11,2,0,2,2,6,8,0,8,8,1,15,5,38,8,9,14,3,0,1,0,6,6,1,1,9,8.0,0.3684210526315789,0.2972972972972973,1.0526315789473684,0.972972972972973,0.43068181818181817,0.397906976744186,6.111111111111111,1.8888888888888888,0.15789473684210525,0.5586206896551724,6
20160531OBNC0,20160531,NC,OB,B,L,27,188,36,8,3,0,1,0,4,16,0,6,5,0,17,3,34,5,5,8,2,1,1,0,8,10,1,1,10,5.0,0.23529411764705882,0.2222222222222222,0.9117647058823529,0.7222222222222222,0.36523809523809525,0.30575,2.2222222222222223,1.3333333333333333,0.20588235294117646,0.4098360655737705,7
20160601OBNC0,20160601,NC,OB,B,W,27,134,31,7,1,0,1,0,5,7,1,1,1,1,16,0,33,4,5,6,2,0,0,0,4,4,0,0,8,1.0,0.18181818181818182,0.22580645161290322,0.5454545454545454,0.7419354838709677,0.23945945945945946,0.31305555555555553,4.555555555555555,1.3333333333333333,0.06060606060606061,0.9615384615384616,6
20160602OBNC0,20160602,NC,OB,B,W,27,173,30,5,1,0,0,0,8,9,1,3,2,1,21,1,32,4,4,8,0,0,1,1,2,5,0,0,6,2.0,0.25,0.16666666666666666,0.65625,0.6333333333333333,0.2855882352941177,0.2723684210526316,3.6666666666666665,1.4444444444444444,0.09375,0.64,5
20160603NCLT0,20160603,NC,LT,T,W,27,125,32,8,1,0,0,0,2,6,1,3,3,1,20,3,30,5,5,4,3,0,1,1,6,11,1,0,4,3.0,0.13333333333333333,0.25,0.6666666666666666,0.59375,0.2791666666666666,0.26117647058823534,2.3333333333333335,1.1111111111111112,0.2,0.7352941176470589,5
20160605NCLT0,20160605,NC,LT,T,W,27,161,37,11,2,0,1,0,3,11,0,7,7,1,15,4,44,14,14,17,4,0,3,0,8,8,0,0,12,7.0,0.38636363636363635,0.2972972972972973,1.25,0.8108108108108109,0.49615384615384617,0.34575,3.0,1.5555555555555556,0.29545454545454547,0.8,6
20160607WONC0,20160607,NC,WO,B,W,27,144,32,5,0,0,1,1,1,9,0,1,1,1,21,0,29,5,5,7,1,0,3,0,5,4,0,0,6,1.0,0.2413793103448276,0.15625,1.0,0.4375,0.4026470588235294,0.19242424242424241,2.7777777777777777,0.6666666666666666,0.3448275862068966,0.9615384615384616,7
20160608WONC0,20160608,NC,WO,B,W,27,173,38,11,2,0,0,0,5,11,0,3,3,1,15,1,30,7,7,8,1,1,3,0,4,6,0,0,5,3.0,0.26666666666666666,0.2894736842105263,1.0666666666666667,0.7631578947368421,0.43000000000000005,0.32558139534883723,2.2222222222222223,1.7777777777777777,0.4,0.8448275862068966,4
20160609WONC0,20160609,NC,WO,B,W,27,152,33,11,3,0,0,0,4,11,2,4,3,1,18,2,40,15,16,15,3,0,1,0,7,8,1,1,7,3.0,0.375,0.3333333333333333,1.075,0.8787878787878788,0.4368085106382979,0.37,1.8888888888888888,1.6666666666666667,0.15,0.9411764705882353,4
20160610NCSK0,20160610,NC,SK,T,W,27,178,35,11,1,0,1,3,7,10,0,2,2,1,13,1,37,6,6,13,1,0,2,1,8,8,2,0,11,2.0,0.35135135135135137,0.3142857142857143,1.1081081081081081,0.9428571428571428,0.442,0.385952380952381,4.555555555555555,2.0,0.1891891891891892,0.9,6
20160611NCSK0,20160611,NC,SK,T,W,27,141,34,11,2,1,2,1,3,5,0,6,6,1,15,4,41,7,7,12,1,0,3,0,3,10,0,0,10,6.0,0.2926829268292683,0.3235294117647059,0.9024390243902439,1.0294117647058822,0.38090909090909086,0.4262162162162162,5.777777777777778,1.5555555555555556,0.24390243902439024,0.5764705882352941,4
20160612NCSK0,20160612,NC,SK,T,W,27,162,34,12,1,0,0,0,8,4,3,8,8,1,6,4,40,11,11,16,5,0,2,0,5,7,2,0,7,8.0,0.4,0.35294117647058826,1.2,0.9705882352941176,0.48911111111111105,0.3947619047619048,4.777777777777778,2.2222222222222223,0.275,0.654054054054054,7
20160614NCLG0,20160614,NC,LG,T,W,27,165,40,14,2,1,0,0,5,7,1,7,7,1,18,4,38,10,10,14,1,1,1,3,7,6,1,0,8,7.0,0.3684210526315789,0.35,1.0789473684210527,0.925,0.4357777777777778,0.3866666666666667,3.111111111111111,2.111111111111111,0.15789473684210525,0.6711409395973155,7
20160616NCLG0,20160616,NC,LG,T,W,27,125,32,6,0,0,0,2,3,8,0,0,0,1,23,0,32,3,3,7,1,0,1,0,5,5,1,0,8,0.0,0.21875,0.1875,0.71875,0.46875,0.3045945945945946,0.21171428571428572,2.2222222222222223,1.0,0.125,1.0,5
20160617NCKT0,20160617,NC,KT,T,W,27,133,31,5,2,0,0,0,2,6,1,1,1,1,16,1,40,11,11,16,2,1,2,0,3,5,1,1,6,1.0,0.4,0.16129032258064516,1.125,0.45161290322580644,0.47023255813953496,0.1996969696969697,2.3333333333333335,0.7777777777777778,0.25,0.9918032786885246,7
20160618NCKT0,20160618,NC,KT,T,W,27,168,36,8,1,0,1,0,3,6,0,3,2,1,15,2,41,7,7,16,3,0,0,3,2,10,2,2,10,2.0,0.3902439024390244,0.2222222222222222,0.9024390243902439,0.6388888888888888,0.3897674418604651,0.2764102564102564,4.111111111111111,1.2222222222222223,0.07317073170731707,0.8448275862068966,7
20160619NCKT0,20160619,NC,KT,T,W,27,145,37,14,2,0,2,0,4,5,1,7,7,1,0,3,47,15,15,22,2,0,5,0,7,6,3,0,13,7.0,0.46808510638297873,0.3783783783783784,1.446808510638298,1.0810810810810811,0.5781481481481481,0.448780487804878,6.111111111111111,2.0,0.3617021276595745,0.8211678832116789,8
20160621HHNC0,20160621,NC,HH,B,L,27,155,36,11,2,1,2,1,4,6,2,8,8,0,14,5,30,2,2,4,0,0,1,1,4,8,0,0,6,8.0,0.13333333333333333,0.3055555555555556,0.5,1.0,0.22147058823529409,0.41150000000000003,5.888888888888889,1.6666666666666667,0.1,0.058823529411764705,7
20160623HHNC0,20160623,NC,HH,B,D,36,174,43,10,2,0,0,1,3,11,1,3,3,0,18,2,40,3,3,7,1,0,0,0,7,10,2,0,10,2.25,0.175,0.23255813953488372,0.55,0.5813953488372093,0.24340425531914892,0.255,1.9166666666666667,1.0833333333333333,0.025,0.5,8
20160624HTNC0,20160624,NC,HT,B,L,27,167,33,8,2,0,1,1,8,8,1,6,5,0,15,1,32,2,2,7,2,0,0,0,3,12,0,1,8,5.0,0.21875,0.24242424242424243,0.59375,0.8787878787878788,0.25885714285714284,0.3563414634146341,5.333333333333334,1.7777777777777777,0.0625,0.1,8
20160625HTNC0,20160625,NC,HT,B,L,27,202,38,10,1,0,1,1,9,10,1,9,6,0,16,3,31,0,0,4,0,0,0,0,2,12,1,2,6,6.0,0.12903225806451613,0.2631578947368421,0.3225806451612903,0.868421052631579,0.1496969696969697,0.35531914893617017,5.222222222222222,2.111111111111111,0.0,0.0,8
20160626HTNC0,20160626,NC,HT,B,L,27,225,41,16,7,1,2,1,10,9,1,15,15,0,13,4,39,4,4,13,0,0,0,0,5,8,0,1,13,15.0,0.3333333333333333,0.3902439024390244,0.7948717948717948,1.3902439024390243,0.34136363636363637,0.5284313725490196,7.222222222222222,2.888888888888889,0.0,0.06639004149377593,7
20160628NCOB0,20160628,NC,OB,T,L,24,174,35,13,2,1,1,0,8,5,1,12,12,0,14,6,34,2,3,10,2,0,2,0,7,5,2,0,11,13.5,0.29411764705882354,0.37142857142857144,1.0294117647058822,1.1714285714285715,0.4124390243902439,0.46023255813953495,6.375,2.625,0.23529411764705882,0.058823529411764705,8
20160629NCOB0,20160629,NC,OB,T,W,27,130,32,6,1,0,1,0,1,9,1,4,3,1,15,3,38,9,10,12,2,1,1,1,11,6,0,1,14,3.0,0.3157894736842105,0.1875,1.105263157894737,0.53125,0.4279591836734694,0.2309090909090909,2.7777777777777777,0.7777777777777778,0.18421052631578946,0.8620689655172413,8
20160630NCOB0,20160630,NC,OB,T,L,24,173,31,9,2,0,0,0,6,7,0,4,4,0,8,2,27,0,0,0,0,0,0,0,4,9,0,0,4,4.5,0.0,0.2903225806451613,0.14814814814814814,0.8387096774193549,0.08903225806451612,0.3489189189189189,3.5,1.875,0.0,0.0,7
20160706LTNC0,20160706,NC,LT,B,W,27,152,35,9,1,1,0,0,3,6,1,3,3,1,18,0,36,11,12,12,1,0,3,0,4,6,0,2,4,3.0,0.3333333333333333,0.2571428571428571,1.0555555555555556,0.6857142857142857,0.43624999999999997,0.29447368421052633,2.6666666666666665,1.3333333333333333,0.2777777777777778,0.9411764705882353,8
20160707LTNC0,20160707,NC,LT,B,W,27,142,35,9,2,0,2,0,2,12,1,4,4,1,15,4,30,8,8,8,3,0,1,1,4,5,0,0,4,4.0,0.26666666666666666,0.2571428571428571,0.8666666666666667,0.8,0.3597058823529412,0.33972972972972976,3.888888888888889,1.2222222222222223,0.2,0.8,9
20160708NCWO0,20160708,NC,WO,T,W,27,178,39,13,2,0,3,1,3,4,1,9,9,1,10,4,39,9,11,11,2,0,2,0,3,8,0,1,4,9.0,0.28205128205128205,0.3333333333333333,0.8461538461538461,1.0256410256410255,0.3580952380952381,0.4292857142857143,7.444444444444445,1.7777777777777777,0.20512820512820512,0.599009900990099,6
20160709NCWO0,20160709,NC,WO,T,L,24,151,30,9,2,0,0,0,5,6,1,7,7,0,17,2,36,4,4,10,5,0,1,0,4,5,0,0,11,7.875,0.2777777777777778,0.3,0.8888888888888888,0.8333333333333334,0.36924999999999997,0.3491428571428571,3.375,1.75,0.2222222222222222,0.24615384615384617,8
20160710NCWO0,20160710,NC,WO,T,L,24,166,35,13,2,0,1,1,6,5,0,9,9,0,4,5,35,6,7,10,1,1,0,2,8,6,1,0,10,10.125,0.2857142857142857,0.37142857142857144,0.8857142857142857,1.0571428571428572,0.36116279069767443,0.43121951219512195,5.625,2.375,0.08571428571428572,0.3769230769230769,7
20160712OBNC0,20160712,NC,OB,B,L,27,161,38,13,0,0,3,1,6,8,0,9,9,0,12,6,33,4,5,9,1,0,2,0,6,3,3,0,7,9.0,0.2727272727272727,0.34210526315789475,0.9393939393939394,1.0789473684210527,0.3833333333333333,0.4395454545454545,7.555555555555555,2.111111111111111,0.21212121212121213,0.2358490566037736,7
20160713OBNC0,20160713,NC,OB,B,W,27,115,31,5,3,0,1,0,2,8,0,2,2,1,15,2,29,5,6,7,1,0,3,0,5,3,1,0,5,2.0,0.2413793103448276,0.16129032258064516,1.0,0.5806451612903226,0.4026470588235294,0.24787878787878787,3.3333333333333335,0.7777777777777778,0.3448275862068966,0.9,5
20160714OBNC0,20160714,NC,OB,B,W,27,128,34,8,1,0,3,0,1,7,1,3,3,1,12,3,26,4,4,5,1,0,0,2,4,9,0,1,6,3.0,0.19230769230769232,0.23529411764705882,0.5769230769230769,0.7941176470588235,0.253,0.33771428571428574,6.111111111111111,1.0,0.038461538461538464,0.64,6
20160719SKNC0,20160719,NC,SK,B,L,27,175,34,10,2,0,1,0,6,12,1,5,5,0,6,3,34,4,4,9,1,1,1,0,1,9,2,0,4,5.0,0.2647058823529412,0.29411764705882354,0.7352941176470589,0.9117647058823529,0.3148571428571428,0.37525,3.7777777777777777,1.7777777777777777,0.17647058823529413,0.3902439024390244,6
20160720SKNC0,20160720,NC,SK,B,W,27,155,31,6,1,0,0,1,5,12,1,2,2,1,15,2,31,4,4,9,2,0,1,2,1,4,1,1,6,2.0,0.2903225806451613,0.1935483870967742,0.7741935483870968,0.5806451612903226,0.3334375,0.25472222222222224,2.0,1.2222222222222223,0.16129032258064516,0.8,3
20160721SKNC0,20160721,NC,SK,B,W,27,139,33,9,3,0,2,0,5,8,2,4,4,1,15,3,29,7,7,10,3,0,1,1,7,6,2,0,7,4.0,0.3448275862068966,0.2727272727272727,1.1379310344827587,0.9696969696969697,0.4466666666666667,0.3952631578947368,5.777777777777778,1.5555555555555556,0.20689655172413793,0.7538461538461538,4
20160722NCHT0,20160722,NC,HT,T,L,24,167,33,12,3,0,2,1,7,8,1,9,9,0,9,7,33,4,4,8,1,0,2,0,3,7,0,0,6,10.125,0.24242424242424243,0.36363636363636365,0.7878787878787878,1.2121212121212122,0.3330555555555555,0.47675,6.875,2.375,0.21212121212121213,0.16494845360824742,6
