G_ID,GDAY_DS,T_ID,VS_T_ID,TB_SC,P_ID,START_CK,RELIEF_CK,INN2,BF,PA,AB,HIT,HR,KK,BB,R,ER,
20200505WOHT0,20200505,HT,WO,B,61643,0,1,10,46,13,12,3,2,1,1,3,3,
20200505WOHT0,20200505,HT,WO,B,63628,0,1,3,24,7,6,4,0,1,1,1,1,
20200505WOHT0,20200505,WO,HT,T,65398,0,1,3,15,4,3,2,0,0,1,0,0,
20200505WOHT0,20200505,HT,WO,B,66630,0,1,5,43,9,7,2,0,2,2,3,3,
20200505WOHT0,20200505,WO,HT,T,67313,1,0,10,62,13,11,2,0,2,2,0,0,
20200505WOHT0,20200505,WO,HT,T,67391,0,1,3,19,4,4,1,0,1,0,0,0,
20200505WOHT0,20200505,WO,HT,T,67828,0,1,3,15,3,3,0,0,1,0,0,0,
20200505WOHT0,20200505,WO,HT,T,69399,0,1,3,22,7,6,2,0,1,1,2,0,
20200505WOHT0,20200505,HT,WO,B,77637,1,0,9,73,15,13,6,0,1,2,4,4,
20200506HHSK0,20200506,SK,HH,B,50835,1,0,20,94,25,22,3,0,3,3,1,1,
20200506HHSK0,20200506,HH,SK,T,61214,0,1,2,12,3,3,1,0,1,0,0,0,
20200506HHSK0,20200506,SK,HH,B,61895,0,1,3,14,3,3,0,0,2,0,0,0,
20200506HHSK0,20200506,HH,SK,T,62611,1,0,5,42,10,9,6,0,2,1,2,2,
20200506HHSK0,20200506,SK,HH,B,64893,0,1,1,8,1,1,0,0,0,0,0,0,
20200506HHSK0,20200506,HH,SK,T,65764,0,1,13,71,18,16,3,2,5,1,3,3,
20200506HHSK0,20200506,HH,SK,T,67737,0,1,1,7,2,1,0,0,0,1,0,0,
20200506HHSK0,20200506,SK,HH,B,69813,0,1,3,22,6,5,3,1,0,1,1,1,
20200506HHSK0,20200506,HH,SK,T,73738,0,1,3,12,4,4,2,0,0,0,0,0,
20200506LTKT0,20200506,LT,KT,T,60559,0,1,3,20,6,4,3,0,0,1,2,2,
20200506LTKT0,20200506,LT,KT,T,63543,0,1,3,5,3,3,0,0,0,0,0,0,
20200506LTKT0,20200506,KT,LT,B,65060,0,1,3,12,5,5,2,0,0,0,0,0,
20200506LTKT0,20200506,KT,LT,B,67008,0,1,3,16,5,5,3,0,0,0,2,2,
20200506LTKT0,20200506,KT,LT,B,69032,1,0,15,81,23,20,7,1,5,1,6,6,
20200506LTKT0,20200506,KT,LT,B,69041,0,1,3,22,4,4,1,0,1,0,0,0,
20200506LTKT0,20200506,LT,KT,T,69539,1,0,18,83,25,24,6,0,2,1,1,0,
20200506LTKT0,20200506,KT,LT,B,75340,0,1,3,22,4,2,1,0,0,1,1,1,
20200506LTKT0,20200506,LT,KT,T,79545,0,1,3,14,4,4,1,1,1,0,1,1,
20200506NCSS0,20200506,NC,SS,T,50912,1,0,15,95,21,19,5,2,7,2,2,2,
20200506NCSS0,20200506,NC,SS,T,60339,0,1,3,12,3,3,0,0,2,0,0,0,
20200506NCSS0,20200506,SS,NC,B,61457,0,1,3,9,3,3,0,0,1,0,0,0,
20200506NCSS0,20200506,SS,NC,B,62920,0,1,3,27,6,5,2,0,1,1,0,0,
20200506NCSS0,20200506,NC,SS,T,63959,0,1,2,9,3,3,1,1,1,0,1,1,
20200506NCSS0,20200506,NC,SS,T,63991,0,1,3,16,3,3,0,0,1,0,0,0,
20200506NCSS0,20200506,SS,NC,B,67421,0,1,3,22,5,3,0,0,0,2,0,0,
20200506NCSS0,20200506,SS,NC,B,69439,1,0,18,97,26,22,7,2,6,4,4,4,
20200506NCSS0,20200506,NC,SS,T,76118,0,1,3,12,3,3,0,0,0,0,0,0,
20200506NCSS0,20200506,NC,SS,T,78352,0,1,1,1,1,1,0,0,0,0,0,0,
20200506OBLG0,20200506,LG,OB,B,50126,0,1,3,18,4,4,1,0,0,0,0,0,
20200506OBLG0,20200506,LG,OB,B,60337,0,1,4,21,4,4,0,0,1,0,0,0,
20200506OBLG0,20200506,LG,OB,B,60845,0,1,3,9,3,3,0,0,0,0,0,0,
20200506OBLG0,20200506,OB,LG,T,62951,0,1,3,12,3,3,0,0,2,0,0,0,
20200506OBLG0,20200506,OB,LG,T,63248,0,1,5,28,6,6,1,0,1,0,0,0,
20200506OBLG0,20200506,LG,OB,B,65117,0,1,3,16,4,4,2,0,0,0,0,0,
20200506OBLG0,20200506,OB,LG,T,66291,1,0,19,96,27,24,5,0,3,3,2,1,
20200506OBLG0,20200506,LG,OB,B,73801,1,0,7,53,16,14,10,1,0,1,5,5,
20200506OBLG0,20200506,LG,OB,B,79140,0,1,4,9,3,3,0,0,1,0,0,0,
20200506OBLG0,20200506,LG,OB,B,79825,0,1,3,18,3,3,0,0,1,0,0,0,
20200506WOHT0,20200506,HT,WO,B,50636,1,0,17,88,22,21,5,0,6,0,1,1,
20200506WOHT0,20200506,WO,HT,T,63342,0,1,3,10,4,4,1,0,1,0,0,0,
20200506WOHT0,20200506,HT,WO,B,63638,0,1,4,19,4,4,0,0,3,0,0,0,
20200506WOHT0,20200506,WO,HT,T,64051,0,1,3,14,4,4,1,1,1,0,1,1,
20200506WOHT0,20200506,HT,WO,B,65665,0,1,1,5,2,2,2,0,0,0,1,1,
20200506WOHT0,20200506,HT,WO,B,66609,0,1,5,30,7,4,2,0,2,1,1,0,
20200506WOHT0,20200506,WO,HT,T,69343,1,0,15,66,21,20,6,0,4,1,1,1,
20200506WOHT0,20200506,WO,HT,T,74359,0,1,3,14,4,3,1,0,1,0,0,0,
20200506WOHT0,20200506,WO,HT,T,76430,0,1,3,14,4,4,2,0,2,0,0,0,
20200507HHSK0,20200507,HH,SK,T,60768,0,1,2,32,6,4,4,0,0,2,2,2,
20200507HHSK0,20200507,SK,HH,B,60841,1,0,15,91,22,21,8,0,4,1,2,2,
20200507HHSK0,20200507,SK,HH,B,63894,0,1,4,12,4,4,0,0,2,0,0,0,
20200507HHSK0,20200507,SK,HH,B,65343,0,1,0,11,2,0,0,0,0,2,2,2,
20200507HHSK0,20200507,SK,HH,B,65411,0,1,6,25,6,6,0,0,1,0,0,0,
20200507HHSK0,20200507,SK,HH,B,66859,0,1,2,12,5,5,5,0,0,0,3,3,
20200507HHSK0,20200507,HH,SK,T,67703,0,1,3,17,4,3,1,0,1,1,0,0,
20200507HHSK0,20200507,HH,SK,T,74857,0,1,4,17,6,6,2,0,1,0,0,0,
20200507HHSK0,20200507,SK,HH,B,76350,0,1,0,14,3,1,1,0,0,2,1,1,
20200507HHSK0,20200507,HH,SK,T,77318,1,0,18,98,29,26,12,0,6,3,2,2,
20200507LTKT0,20200507,LT,KT,T,62528,0,1,3,5,3,3,0,0,0,0,0,0,
20200507LTKT0,20200507,LT,KT,T,63512,0,1,1,9,2,2,2,0,0,0,0,0,
20200507LTKT0,20200507,LT,KT,T,63543,0,1,3,11,3,3,0,0,0,0,0,0,
20200507LTKT0,20200507,LT,KT,T,64021,1,0,14,87,21,19,7,0,2,2,3,3,
20200507LTKT0,20200507,KT,LT,B,65048,0,1,2,14,5,5,4,1,1,0,2,2,
20200507LTKT0,20200507,KT,LT,B,65062,0,1,3,23,7,5,2,0,0,1,1,1,
20200507LTKT0,20200507,KT,LT,B,65516,1,0,19,87,27,26,9,0,1,1,2,2,
20200507LTKT0,20200507,KT,LT,B,78517,0,1,3,33,6,4,1,0,1,2,2,1,
20200507LTKT0,20200507,LT,KT,T,79293,0,1,3,19,3,3,0,0,1,0,0,0,
20200507LTKT0,20200507,LT,KT,T,79545,0,1,3,8,3,3,0,0,1,0,0,0,
20200507NCSS0,20200507,SS,NC,B,50404,1,0,18,97,26,23,7,1,2,2,5,5,
20200507NCSS0,20200507,SS,NC,B,61365,0,1,3,21,6,3,0,0,1,3,0,0,
20200507NCSS0,20200507,NC,SS,T,65042,0,1,9,61,16,12,3,0,0,4,2,2,
20200507NCSS0,20200507,SS,NC,B,65496,0,1,3,41,9,6,4,0,3,2,3,2,
20200507NCSS0,20200507,NC,SS,T,65933,1,0,18,90,22,20,3,0,8,2,0,0,
20200507NCSS0,20200507,SS,NC,B,77927,0,1,3,11,3,3,0,0,0,0,0,0,
20200507OBLG0,20200507,LG,OB,B,50126,0,1,9,45,12,12,2,0,0,0,1,0,
20200507OBLG0,20200507,LG,OB,B,50157,0,1,3,24,6,5,3,0,1,1,2,2,
20200507OBLG0,20200507,OB,LG,T,50234,1,0,18,94,24,21,9,0,6,1,3,3,
20200507OBLG0,20200507,LG,OB,B,60337,0,1,3,20,5,5,2,0,0,0,1,1,
20200507OBLG0,20200507,OB,LG,T,62242,0,1,3,11,3,3,0,0,0,0,0,0,
20200507OBLG0,20200507,OB,LG,T,67263,0,1,2,12,2,2,0,0,0,0,0,0,
20200507OBLG0,20200507,OB,LG,T,67266,0,1,3,8,3,3,0,0,0,0,0,0,
20200507OBLG0,20200507,OB,LG,T,76329,0,1,1,11,2,1,0,0,1,1,0,0,
20200507OBLG0,20200507,LG,OB,B,78148,1,0,12,63,19,18,9,1,3,0,5,3,
20200507WOHT0,20200507,WO,HT,T,61268,0,1,3,13,4,3,0,0,1,1,0,0,
20200507WOHT0,20200507,HT,WO,B,62263,0,1,5,24,5,5,0,0,1,0,0,0,
20200507WOHT0,20200507,WO,HT,T,64051,0,1,2,15,6,4,2,1,0,2,3,3,
20200507WOHT0,20200507,WO,HT,T,65320,1,0,15,98,24,22,11,0,4,2,2,2,
20200507WOHT0,20200507,HT,WO,B,65616,1,0,17,92,25,21,7,0,4,3,4,4,
20200507WOHT0,20200507,HT,WO,B,65643,0,1,3,19,5,5,3,1,1,0,1,1,
20200507WOHT0,20200507,HT,WO,B,65665,0,1,2,6,3,3,3,0,0,0,0,0,
20200507WOHT0,20200507,WO,HT,T,67828,0,1,2,19,4,4,2,1,0,0,2,2,
20200507WOHT0,20200507,WO,HT,T,76430,0,1,2,17,5,5,3,0,2,0,1,1,
20200508HHWO0,20200508,HH,WO,T,60140,0,1,3,16,5,5,2,1,0,0,1,1,
20200508HHWO0,20200508,WO,HH,B,63342,0,1,3,13,3,3,0,0,1,0,0,0,
20200508HHWO0,20200508,HH,WO,T,65769,0,1,3,22,5,4,2,0,0,1,1,1,
20200508HHWO0,20200508,WO,HH,B,67391,0,1,3,16,3,3,1,0,2,0,0,0,
20200508HHWO0,20200508,WO,HH,B,67603,1,0,20,90,24,22,3,0,3,2,2,2,
20200508HHWO0,20200508,HH,WO,T,67737,0,1,3,13,3,3,0,0,2,0,0,0,
20200508HHWO0,20200508,WO,HH,B,74359,0,1,1,11,3,3,2,1,1,0,1,1,
20200508HHWO0,20200508,HH,WO,T,79764,1,0,15,90,25,22,7,1,4,3,3,3,
20200508HTSS0,20200508,HT,SS,T,50640,1,0,16,87,23,21,7,1,5,2,4,3,
20200508HTSS0,20200508,SS,HT,B,60146,0,1,3,11,3,3,0,0,1,0,0,0,
20200508HTSS0,20200508,SS,HT,B,61457,0,1,0,4,1,1,2,0,0,0,0,0,
20200508HTSS0,20200508,HT,SS,T,63628,0,1,3,10,3,3,0,0,0,0,0,0,
20200508HTSS0,20200508,HT,SS,T,66630,0,1,3,30,6,4,2,0,0,2,1,1,
20200508HTSS0,20200508,SS,HT,B,67421,0,1,3,19,6,5,2,0,1,1,0,0,
20200508HTSS0,20200508,HT,SS,T,67646,0,1,2,22,5,2,0,0,1,3,0,0,
20200508HTSS0,20200508,SS,HT,B,68419,1,0,15,87,19,14,1,0,5,5,0,0,
20200508HTSS0,20200508,SS,HT,B,73117,0,1,3,9,4,4,1,0,1,0,0,0,
20200508HTSS0,20200508,SS,HT,B,77927,0,1,3,12,3,3,0,0,1,0,0,0,
20200508KTOB0,20200508,KT,OB,T,50030,1,0,15,84,21,20,7,0,2,1,2,2,
20200508KTOB0,20200508,KT,OB,T,65060,0,1,4,23,6,6,3,0,1,0,0,0,
20200508KTOB0,20200508,KT,OB,T,67008,0,1,3,9,3,3,0,0,0,0,0,0,
20200508KTOB0,20200508,OB,KT,B,67263,0,1,9,60,17,14,8,0,2,2,4,4,
20200508KTOB0,20200508,OB,KT,B,68249,0,1,6,37,11,11,8,0,3,0,3,3,
20200508KTOB0,20200508,KT,OB,T,75340,0,1,5,26,8,5,1,0,0,2,1,1,
20200508KTOB0,20200508,OB,KT,B,79229,1,0,12,97,23,22,11,1,2,1,5,5,
20200508LGNC0,20200508,NC,LG,B,60263,1,0,16,85,24,22,7,0,6,2,4,4,
20200508LGNC0,20200508,NC,LG,B,60339,0,1,3,7,3,3,1,0,0,0,0,0,
20200508LGNC0,20200508,LG,NC,T,60845,0,1,3,26,8,7,6,1,0,1,4,4,
20200508LGNC0,20200508,NC,LG,B,63991,0,1,2,9,3,3,2,0,0,0,0,0,
20200508LGNC0,20200508,NC,LG,B,64995,0,1,3,15,5,2,0,0,1,2,0,0,
20200508LGNC0,20200508,LG,NC,T,65117,0,1,2,8,3,3,2,0,0,0,0,0,
20200508LGNC0,20200508,LG,NC,T,66145,0,1,3,37,6,4,2,0,1,2,2,2,
20200508LGNC0,20200508,LG,NC,T,67119,0,1,1,7,1,1,0,0,1,0,0,0,
20200508LGNC0,20200508,LG,NC,T,68135,1,0,13,96,24,20,7,1,2,4,7,7,
20200508LGNC0,20200508,NC,LG,B,78352,0,1,1,6,2,2,2,0,1,0,1,1,
20200508LGNC0,20200508,LG,NC,T,79140,0,1,2,15,2,2,0,0,0,0,0,0,
20200508LGNC0,20200508,NC,LG,B,79358,0,1,2,17,4,2,0,0,1,2,0,0,
20200508SKLT0,20200508,LT,SK,B,60559,0,1,3,25,6,5,4,1,0,0,2,2,
20200508SKLT0,20200508,SK,LT,T,61895,0,1,3,20,4,4,1,1,1,0,1,1,
20200508SKLT0,20200508,LT,SK,B,62528,0,1,3,10,3,3,0,0,1,0,0,0,
20200508SKLT0,20200508,SK,LT,T,62869,1,0,17,76,25,25,12,2,7,0,4,4,
20200508SKLT0,20200508,LT,SK,B,63512,0,1,3,16,4,4,1,0,2,0,0,0,
20200508SKLT0,20200508,LT,SK,B,63543,0,1,3,9,3,3,0,0,1,0,0,0,
20200508SKLT0,20200508,SK,LT,T,63894,0,1,3,25,4,3,0,0,1,1,0,0,
20200508SKLT0,20200508,SK,LT,T,64893,0,1,4,32,7,6,4,1,1,0,3,3,
20200508SKLT0,20200508,SK,LT,T,66859,0,1,1,21,3,1,0,0,0,2,1,1,
20200508SKLT0,20200508,LT,SK,B,73211,1,0,15,85,25,24,12,1,3,1,5,5,
20200508SKLT0,20200508,LT,SK,B,78536,0,1,3,12,4,1,0,0,0,1,1,1,
20200509HHWO0,20200509,HH,WO,T,60140,0,1,2,22,4,2,0,0,2,2,2,2,
20200509HHWO0,20200509,HH,WO,T,60768,0,1,4,22,5,5,1,1,2,0,1,1,
20200509HHWO0,20200509,WO,HH,B,61268,0,1,3,6,3,3,1,0,0,0,0,0,
20200509HHWO0,20200509,WO,HH,B,62363,1,0,18,100,26,23,10,1,4,2,3,3,
20200509HHWO0,20200509,WO,HH,B,63342,0,1,3,15,4,4,1,0,0,0,0,0,
20200509HHWO0,20200509,WO,HH,B,64051,0,1,3,14,3,3,0,0,0,0,0,0,
20200509HHWO0,20200509,HH,WO,T,65769,0,1,0,7,2,1,1,0,0,1,1,0,
20200509HHWO0,20200509,HH,WO,T,67703,0,1,3,16,3,3,0,0,1,0,0,0,
20200509HHWO0,20200509,HH,WO,T,69745,1,0,15,91,22,17,2,0,3,5,1,1,
20200509HTSS0,20200509,SS,HT,B,61365,0,1,3,20,3,3,0,0,0,0,0,0,
20200509HTSS0,20200509,HT,SS,T,62263,0,1,1,17,4,1,1,0,0,2,0,0,
20200509HTSS0,20200509,HT,SS,T,62754,1,0,13,90,20,17,6,0,6,3,4,4,
20200509HTSS0,20200509,HT,SS,T,62908,0,1,1,4,1,1,0,0,0,0,0,0,
20200509HTSS0,20200509,SS,HT,B,62920,0,1,3,15,3,2,0,0,0,1,0,0,
20200509HTSS0,20200509,HT,SS,T,63628,0,1,5,21,6,6,1,0,2,0,0,0,
20200509HTSS0,20200509,HT,SS,T,63638,0,1,3,21,5,5,1,0,1,0,1,0,
20200509HTSS0,20200509,SS,HT,B,65496,0,1,3,14,3,3,0,0,2,0,0,0,
20200509HTSS0,20200509,HT,SS,T,65665,0,1,0,21,4,2,2,0,0,2,4,4,
20200509HTSS0,20200509,HT,SS,T,66630,0,1,1,16,6,4,6,0,0,3,5,5,
20200509HTSS0,20200509,SS,HT,B,67421,0,1,3,14,3,3,1,0,0,0,0,0,
20200509HTSS0,20200509,SS,HT,B,69446,1,0,15,95,23,18,8,1,2,5,2,2,
20200510HHWO0,20200510,WO,HH,B,61268,0,1,3,14,4,4,2,0,1,0,0,0,
20200510HHWO0,20200510,WO,HH,B,62360,0,1,9,29,9,9,3,0,0,0,0,0,
20200510HHWO0,20200510,WO,HH,B,67313,1,0,12,74,19,18,7,1,5,1,3,3,
20200510HHWO0,20200510,HH,WO,T,67703,0,1,3,22,5,2,2,0,0,3,1,1,
20200510HHWO0,20200510,HH,WO,T,67737,0,1,3,13,3,3,0,0,1,0,0,0,
20200510HHWO0,20200510,HH,WO,T,69744,1,0,18,103,25,24,7,0,5,1,3,2,
20200510HHWO0,20200510,HH,WO,T,73738,0,1,0,8,2,2,2,0,0,0,2,2,
20200510HHWO0,20200510,WO,HH,B,76430,0,1,3,19,4,4,1,0,1,0,0,0,
20200510HTSS0,20200510,SS,HT,B,61365,0,1,4,32,7,6,1,0,1,1,1,1,
20200510HTSS0,20200510,SS,HT,B,61457,0,1,2,16,4,3,1,0,0,1,0,0,
20200510HTSS0,20200510,SS,HT,B,62920,0,1,1,9,2,1,0,0,0,1,0,0,
20200510HTSS0,20200510,SS,HT,B,65496,0,1,3,27,9,7,6,0,1,1,3,3,
20200510HTSS0,20200510,HT,SS,T,65643,0,1,3,14,5,4,3,0,1,0,1,1,
20200510HTSS0,20200510,HT,SS,T,66609,0,1,3,13,3,3,0,0,1,0,0,0,
20200510HTSS0,20200510,HT,SS,T,67646,0,1,3,21,5,3,0,0,1,2,0,0,
20200510HTSS0,20200510,SS,HT,B,77446,1,0,12,80,22,21,11,2,4,1,8,4,
20200510HTSS0,20200510,HT,SS,T,77637,1,0,18,84,22,21,5,2,3,1,2,2,
20200510HTSS0,20200510,SS,HT,B,77927,0,1,5,19,5,4,0,0,1,1,0,0,
20200510KTOB0,20200510,OB,KT,B,62242,0,1,4,22,6,6,2,0,2,0,2,2,
20200510KTOB0,20200510,OB,KT,B,62951,0,1,6,42,11,11,6,2,0,0,3,3,
20200510KTOB0,20200510,OB,KT,B,63248,0,1,0,14,2,2,2,0,0,0,1,1,
20200510KTOB0,20200510,KT,OB,T,65048,0,1,1,20,4,3,2,0,0,1,2,2,
20200510KTOB0,20200510,KT,OB,T,65060,0,1,4,21,5,5,1,0,1,0,0,0,
20200510KTOB0,20200510,KT,OB,T,65062,0,1,2,17,4,3,2,0,0,1,1,1,
20200510KTOB0,20200510,KT,OB,T,67008,0,1,4,30,8,8,2,1,1,0,2,1,
20200510KTOB0,20200510,OB,KT,B,67266,0,1,1,12,3,1,1,0,0,1,0,0,
20200510KTOB0,20200510,KT,OB,T,68043,1,0,12,71,23,22,10,2,1,1,7,7,
20200510KTOB0,20200510,KT,OB,T,69041,0,1,2,21,4,2,2,0,0,2,1,1,
20200510KTOB0,20200510,KT,OB,T,75340,0,1,3,12,3,3,0,0,0,0,0,0,
20200510KTOB0,20200510,OB,KT,B,76329,0,1,4,24,5,4,0,0,0,1,0,0,
20200510KTOB0,20200510,OB,KT,B,77211,1,0,18,84,25,24,7,1,6,1,6,6,
20200510KTOB0,20200510,KT,OB,T,77563,0,1,3,17,4,3,0,0,1,1,0,0,
20200510LGNC0,20200510,LG,NC,T,50157,0,1,4,19,5,5,1,1,1,0,1,1,
20200510LGNC0,20200510,NC,LG,B,60339,0,1,1,22,4,2,2,1,0,1,3,3,
20200510LGNC0,20200510,NC,LG,B,63959,0,1,2,17,3,2,0,0,0,1,0,0,
20200510LGNC0,20200510,NC,LG,B,63991,0,1,2,13,2,2,0,0,1,0,0,0,
20200510LGNC0,20200510,NC,LG,B,64995,0,1,4,36,7,5,1,0,0,2,0,0,
20200510LGNC0,20200510,LG,NC,T,65117,0,1,2,14,4,3,1,0,2,1,0,0,
20200510LGNC0,20200510,LG,NC,T,67119,0,1,3,14,6,4,3,0,1,1,1,1,
20200510LGNC0,20200510,NC,LG,B,68900,1,0,15,83,22,22,10,2,4,0,3,3,
20200510LGNC0,20200510,LG,NC,T,69103,1,0,6,54,14,14,9,0,1,0,6,5,
20200510LGNC0,20200510,LG,NC,T,69159,0,1,5,35,7,5,0,0,1,2,0,0,
20200510LGNC0,20200510,LG,NC,T,76650,0,1,1,5,1,1,0,0,0,0,0,0,
20200510LGNC0,20200510,NC,LG,B,78352,0,1,1,17,5,5,6,1,1,0,4,4,
20200510LGNC0,20200510,NC,LG,B,79358,0,1,2,14,3,2,0,0,0,1,0,0,
20200510LGNC0,20200510,LG,NC,T,79825,0,1,6,21,6,6,0,0,0,0,0,0,
20200510SKLT0,20200510,LT,SK,B,50558,1,0,21,94,23,23,4,0,11,0,0,0,
20200510SKLT0,20200510,SK,LT,T,61895,0,1,1,13,3,3,2,1,0,0,2,2,
20200510SKLT0,20200510,LT,SK,B,63512,0,1,3,9,3,3,0,0,1,0,0,0,
20200510SKLT0,20200510,SK,LT,T,64893,0,1,3,12,4,4,1,0,0,0,0,0,
20200510SKLT0,20200510,SK,LT,T,65411,0,1,2,15,4,3,1,0,1,1,0,0,
20200510SKLT0,20200510,LT,SK,B,79545,0,1,3,5,3,3,0,0,0,0,0,0,
20200510SKLT0,20200510,SK,LT,T,79847,1,0,18,85,22,19,2,0,3,3,2,2,
20200512HTHH0,20200512,HT,HH,T,50636,1,0,21,90,26,26,8,0,4,0,1,1,
20200512HTHH0,20200512,HT,HH,T,65643,0,1,3,23,5,4,1,0,2,1,0,0,
20200512HTHH0,20200512,HH,HT,B,65764,1,0,21,101,25,22,1,0,8,3,0,0,
20200512HTHH0,20200512,HT,HH,T,66609,0,1,3,16,4,3,0,0,2,1,0,0,
20200512HTHH0,20200512,HH,HT,B,67703,0,1,3,14,5,5,2,1,0,0,1,1,
20200512HTHH0,20200512,HH,HT,B,74857,0,1,3,9,4,3,2,0,0,0,1,1,
20200512KTNC0,20200512,KT,NC,T,50040,1,0,15,112,23,21,6,0,6,2,3,3,
20200512KTNC0,20200512,NC,KT,B,60339,0,1,3,10,3,3,0,0,2,0,0,0,
20200512KTNC0,20200512,NC,KT,B,63991,0,1,2,6,2,2,0,0,1,0,0,0,
20200512KTNC0,20200512,KT,NC,T,64029,0,1,0,4,1,1,1,1,0,0,1,1,
20200512KTNC0,20200512,NC,KT,B,64995,0,1,3,31,6,5,2,0,0,1,0,0,
20200512KTNC0,20200512,KT,NC,T,65060,0,1,4,16,5,5,1,0,2,0,0,0,
20200512KTNC0,20200512,KT,NC,T,67008,0,1,3,24,5,5,2,1,1,0,2,2,
20200512KTNC0,20200512,NC,KT,B,69940,1,0,16,99,26,25,10,2,6,1,5,5,
20200512KTNC0,20200512,KT,NC,T,75340,0,1,3,13,4,4,1,1,1,0,1,1,
20200512KTNC0,20200512,NC,KT,B,76118,0,1,3,15,4,3,0,0,1,1,0,0,
20200512KTNC0,20200512,KT,NC,T,77563,0,1,2,6,3,3,2,0,0,0,0,0,
20200512KTNC0,20200512,NC,KT,B,79358,0,1,3,13,5,5,3,0,1,0,1,1,
20200512OBLT0,20200512,LT,OB,B,60559,0,1,3,21,3,2,0,0,2,1,0,0,
20200512OBLT0,20200512,OB,LT,T,62242,0,1,6,29,8,8,2,1,2,0,1,1,
20200512OBLT0,20200512,OB,LT,T,63248,0,1,3,9,3,3,0,0,1,0,0,0,
20200512OBLT0,20200512,LT,OB,B,63543,0,1,3,19,5,5,3,1,1,0,1,1,
20200512OBLT0,20200512,LT,OB,B,64718,0,1,3,27,5,4,2,0,0,1,1,1,
20200512OBLT0,20200512,OB,LT,T,67266,0,1,3,26,6,4,1,0,0,2,1,1,
20200512OBLT0,20200512,OB,LT,T,69045,1,0,15,110,27,27,15,0,4,0,4,4,
20200512OBLT0,20200512,LT,OB,B,76355,1,0,9,58,18,17,12,0,0,1,5,5,
20200512OBLT0,20200512,LT,OB,B,77591,0,1,6,26,8,8,4,1,0,0,2,2,
20200512OBLT0,20200512,LT,OB,B,78536,0,1,3,15,5,5,4,0,0,0,2,2,
